Fid,Datesk,Item_Name,Departure_Date,From_Source,To_Destination,Logistics_Name,Temp,Oxygen,Carbon_Dioxide,ethylene,damage_due_to_vibration,Humidity,Label
221.228.208.94-10.42.0.211-80-48795-6,20210101,Kashini greens,01-01-21,Ahmadabad,Bhadravati,Accurate Logistics,16.9,47.63,30.61,0.68,Yes,71,1
10.42.0.211-66.198.24.240-49770-443-6,20210101,Pineapple ,01-01-21,Amreli,Bidar,Advantage Logistics,17.2,133.36,0.92,0,No,44,0
172.217.10.78-10.42.0.151-443-40746-6,20210101,Thiland ,01-01-21,Bharuch,Chikkamagaluru,Angel Logistics,21,34.06,0.97,3.68,Yes,38,1
10.42.0.211-69.147.86.186-40973-443-6,20210101,Thiland Jelly,01-01-21,Bhavnagar,Chitradurga,Apple Express,18.1,30.7,17.4,6.8,No,45,0
172.217.10.138-10.42.0.42-443-34567-6,20210101,Orange ,01-01-21,Bhuj,Davangere,B Quick Logistics,17.8,36.08,1.7,4.43,Yes,82,1
10.42.0.42-106.39.169.66-36652-80-6,20210101,Chikkadikai cleaned,01-01-21,Dwarka,Halebid,Between Transit,20.6,39.31,22.1,7.01,No,55,0
172.217.10.138-10.42.0.151-443-60227-6,20210101,Grapesh Tash ganesh,01-01-21,Gandhinagar,Hassan,Big Great Movers,18.1,46.51,45.41,5.42,Yes,49,1
10.42.0.211-10.42.0.1-42527-53-17,20210101,Times Rose berry,01-01-21,Godhra,Hubballi-Dharwad,Blue Lightning Logistics,16.3,33.47,112.16,0,Yes,48,1
10.42.0.211-103.235.46.212-46124-443-6,20210101,Washington gala apple,01-01-21,Jamnagar,Kalaburagi,Central Dispatch,18.3,31.89,80.87,0,No,42,0
173.222.140.253-10.42.0.151-443-55038-6,20210101,Chilles small cleaned (C.B.P),01-01-21,Junagadh,Kolar,Clear Metal,20.1,25.75,29.16,0,Yes,58,1
205.185.216.10-10.42.0.211-80-40656-6,20210101,Apple Chaina Delicious,01-01-21,Kandla,Madikeri,Clockwork Logistics,20.4,4.55,NA,0,No,48,0
10.42.0.151-54.192.38.65-42794-443-6,20210101,Rumenia Mango,01-01-21,Khambhat,Mandya,Eagle One Delivery,15.9,6.79,132.07,0,No,89,0
192.229.173.173-10.42.0.211-443-44788-6,20210101,Mosambi polo,01-01-21,Kheda,Alappuzha,First Call Auto Transport,17.4,45.89,52.04,2.41,Yes,76,1
172.217.6.228-10.42.0.211-443-44763-6,20210101,S.mellon namdhari (Red),01-01-21,Mahesana,Vatakara,Flashy Logistic,15.8,35.16,48.82,9.45,Yes,65,1
172.217.12.170-10.42.0.151-443-60952-6,20210101,S.mellon Local (Luck),01-01-21,Morbi,Idukki,Focus Global,15.9,20.96,19.2,2.16,No,57,0
10.42.0.211-64.71.142.124-51714-80-6,20210101,Bore fruit,01-01-21,Nadiad,Kannur,Future Logistics,17.3,47.63,0.6,0.14,Yes,50,1
172.217.12.170-10.42.0.42-443-42436-6,20210101,Butter fruit,01-01-21,Navsari,Kochi,Genesis Logistics,17.2,46.03,1.63,0.35,No,69,0
172.217.7.227-10.42.0.211-80-43033-6,20210101,Anjura/Fig,01-01-21,Ambala,Kollam,Hot Shot Delivery,18,52.24,11.44,0.68,Yes,80,1
10.42.0.151-69.147.82.61-52923-443-6,20210101,Peas seeds,01-01-21,Bhiwani,Kottayam,Integrated Logistic,15.5,53.49,6.1,0.74,No,47,0
172.217.12.170-10.42.0.151-443-54246-6,20210101,Bread fruit,01-01-21,Chandigarh,Kozhikode,Jet Delivery Systems,15.8,49.48,2.51,0.26,Yes,45,1
10.42.0.211-104.193.88.109-33821-80-6,20210101,Apple Chilli,01-01-21,Faridabad,Mattancheri,Main Freight,19.1,56.37,7.92,0.24,No,56,0
10.42.0.211-10.42.0.1-58632-53-17,20210101,Indian red globe,01-01-21,Firozpur Jhirka,Palakkad,Market Express,24.5,48.75,9.52,0.33,No,38,0
10.42.0.211-23.206.125.17-50438-80-6,20210101,Washington red apple,01-01-21,Gurugram,Thalassery,National Carrier Inc.,23.8,42.22,9.05,0,No,54,0
10.42.0.211-77.234.41.79-59340-443-6,20210101,Tamarind Paste 150 gm,01-01-21,Hansi,Thiruvananthapuram,N-Motion Auto Transport,20.9,32.92,22.53,0.39,No,55,0
172.217.12.163-10.42.0.42-443-54058-6,20210101,Rice Bran 5 lt,01-01-21,Hisar,Balaghat,North Shore Logistics,21.5,32.49,2.03,0.47,No,49,0
10.42.0.211-10.42.0.1-38685-53-17,20210101,Sungold oil 5 lt,01-01-21,Jind,Barwani,Only Logistic,23.2,39.26,1.42,0.01,Yes,45,1
219.142.78.217-10.42.0.42-80-51835-6,20210101,Ground nut oil 5 lt,01-01-21,Kaithal,Betul,PacWest Logistics,26.6,39.83,2.27,0.06,Yes,41,1
183.3.235.80-10.42.0.151-80-53055-6,20210101,Safal deep 500 ml,01-01-21,Karnal,Bharhut,Pilot Freight Services,24.6,41.1,2.19,0.02,No,56,0
10.42.0.42-54.239.17.112-51125-443-6,20210101,Tamarind Paste 450 gm,01-01-21,Kurukshetra,Bhind,Preferred Global Logistics,21.6,62.42,5.72,0.03,No,49,0
182.22.24.124-10.42.0.211-443-41787-6,20210101,Sun safal Tin 15 lt,01-01-21,Panipat,Bhojpur,Pride Transport Inc.,12.5,59.76,6.93,0.02,No,78,0
10.42.0.151-10.42.0.1-23554-53-17,20210101,Sungold oil 5 lt packet,01-01-21,Pehowa,Bhopal,Quick Logistics,16.9,97.07,13.85,0.04,Yes,48,1
10.42.0.211-77.234.44.201-42898-80-6,20210101,Pepper,01-01-21,Rewari,Burhanpur,Refer Logistic,19.7,111.33,24.39,0.24,Yes,46,1
162.208.22.39-10.42.0.211-443-45089-6,20210101,Stevia powder,01-01-21,Bilaspur,Chhatarpur,Road Rebel,14.9,102.7,43.48,0.4,Yes,44,1
216.58.219.206-10.42.0.211-443-53223-6,20210101,Coconut oil 500 ml,01-01-21,Chamba,Chhindwara,Route Master,17.1,107.38,54.56,0.46,Yes,43,1
10.42.0.211-77.234.44.201-57603-80-6,20210101,Jam 1 kg,01-01-21,Dalhousie,Damoh,Sound Transit,20.7,73.6,30.61,0.17,Yes,41,1
172.217.11.10-10.42.0.151-443-36800-6,20210101,Jam 1/2 kg,01-01-21,Dharmshala,Datia,Summit Expedited Logistics,22.4,47.3,2.37,0,No,41,0
10.42.0.211-64.71.142.110-41483-443-6,20210101,Jam 200 gm,01-01-21,Hamirpur,Dewas,Team Worldwide,23.1,53.54,2.6,0,Yes,33,1
10.42.0.211-10.42.0.1-61314-53-17,20210101,Jam 100 gm,01-01-21,Kangra,Dhar,Top Dawg Deliveries,25.2,59.3,1.16,0,No,34,0
10.42.0.151-10.42.0.1-50867-53-17,20210101,Fanda,01-01-21,Kullu,Dr. Ambedkar Nagar (Mhow),Total Quality Logistics,17.9,44.76,7.29,0,No,43,0
203.205.191.23-10.42.0.42-80-60616-6,20210101,Chocolates Drink box,01-01-21,Mandi,Guna,United Cargo Logistics,17.2,47.42,8.92,0,No,38,0
175.100.207.231-10.42.0.211-443-59336-6,20210101,Kakadi,01-01-21,Nahan,Gwalior,Wayfinder Logistics,20.2,39.94,4.32,0.02,Yes,36,1
10.42.0.211-111.1.17.152-34919-8077-6,20210101,Corriander Leave,01-01-21,Anantnag,Maheshwar,White Bird Trucking,22.8,56.15,1.41,0,No,52,0
182.22.24.124-10.42.0.211-443-45676-6,20210101,Curry leave,01-01-21,Baramula,Mandla,AC Transit,24.2,53.14,6.34,9.7,Yes,48,1
151.101.1.140-10.42.0.211-443-43649-6,20210101,Dhantu greens,01-01-21,Doda,Mandsaur,Ads Logistics,24.3,31.88,14.19,7.72,No,51,0
10.42.0.211-103.235.46.211-59228-443-6,20210101,Ginger ooty,01-01-21,Gulmarg,Morena,Agility Logistics,25.6,40.11,18.18,11.29,Yes,40,1
10.42.0.151-10.42.0.1-16479-53-17,20210101,Pomegranate,01-01-21,Jammu,Murwara,Arrive Logistics,27.6,36.47,37.49,17,No,34,0
180.163.255.159-10.42.0.211-80-38935-6,20210101,Pomegranate Bhagav,01-01-21,Kathua,Narsimhapur,Beaver Freight Services,18,33.78,15.55,10.47,Yes,46,1
151.101.1.140-10.42.0.151-443-52519-6,20210101,Pomegranate A.raktha,01-01-21,Punch,Narsinghgarh,Blue Grace Logistics,16,30.57,19.85,10.28,Yes,35,1
10.42.0.1-10.42.0.42-53-16600-17,20210101,Pomegranate Ganesh,01-01-21,Rajouri,Narwar,Brisk Shipping,20.9,36.2,15.96,8.14,No,34,0
220.194.79.12-10.42.0.151-80-46389-6,20210101,Papaya nati,01-01-21,Srinagar,Neemuch,Check Logistics,22,37.43,16.24,10,Yes,39,1
172.217.12.206-10.42.0.211-443-54341-6,20210101,Papaya Taiwan,01-01-21,Udhampur,Nowgong,Circle Logistics,26.8,31.94,11.25,9.2,No,36,0
172.217.7.195-10.42.0.211-443-47731-6,20210101,Papaya Red lady,01-01-21,Bokaro,Orchha,Clipper America Inc.,27.3,40.98,33.84,20.12,No,48,0
10.42.0.42-106.39.162.36-49602-80-6,20210101,Papaya sola,01-01-21,Chaibasa,Panna,DeGroot Logistics,26.1,33.55,61.95,22.14,Yes,60,1
10.42.0.151-10.42.0.1-64636-53-17,20210101,Pineapple,01-01-21,Deoghar,Raisen,Edge Logistics,22.8,34.77,45.45,7.35,Yes,43,1
10.42.0.211-123.59.190.237-40751-80-6,20210101,Plum Ooty,01-01-21,Dhanbad,Rajgarh,Express Lane Transportation,23.3,37.3,77.7,50.61,No,41,0
10.42.0.211-31.13.80.52-51850-443-6,20210101,Plum Australia,01-01-21,Dumka,Ratlam,Flare Logistics Trucking Inc.,21.2,38.8,12.56,16.89,Yes,44,1
174.35.73.148-10.42.0.211-80-49357-6,20210101,Peaches,01-01-21,Giridih,Rewa,Forward Air,23.4,67.25,2.23,3.85,No,48,0
10.42.0.211-66.231.239.95-46116-443-6,20210101,Pomello/Chakotha,01-01-21,Hazaribag,Sagar,Fresh Logistic,25.8,30.48,3.58,2.69,Yes,48,1
10.42.0.211-119.146.74.34-35053-80-6,20210101,Rose apple,01-01-21,Jamshedpur,Sarangpur,Go Movers,28.2,34.75,9.07,2.05,No,45,0
172.217.1.174-10.42.0.42-443-52963-6,20210101,Rampal,01-01-21,Jharia,Ahmadnagar,Horizon Moving & Logistics,29,38.46,12.99,2.69,Yes,38,1
172.217.10.238-10.42.0.151-443-57057-6,20210101,Tamarind sweet 500gm,01-01-21,Rajmahal,Akola,Hub Group Trucking,29.2,46.79,18.21,5.21,No,37,0
175.100.207.231-10.42.0.151-443-45817-6,20210101,Watermellon,01-01-21,Ranchi,Amravati,In Switch,29.9,59.39,48.44,9.72,No,33,0
172.217.10.42-10.42.0.211-443-55697-6,20210101,Watermellon kiran,01-01-21,Saraikela,Aurangabad,King Courier,32.4,69.9,2.5,17.77,No,27,0
10.42.0.211-106.39.162.36-43643-80-6,20210101,S.mellon namdhari,01-01-21,Badami,Bhandara,Lynden Transport,28.8,57.16,3.51,3.95,No,32,0
